LUNDI;MARDI;MERCREDI;JEUDI;VENDREDI
01-mai;02-mai;03-mai;04-avr;05-mai
8h-12h15;8h-12h15;8h-12h15;8h-12h15;8h-12h15
;GROUPE B;GROUPE A & B;GROUPE C;CONCEP.LOGICIELLE/BIG DATA
;;;;Architecture des Systèmes d'Information 
;Projet ;Projet ;Projet ;
;;;;J.SARAYDARYAN
;F. JOLY;F. JOLY;F. JOLY;Salle G102
;;Salle I105 - Groupe A ;;
;Salle I203;Salle I200 - Groupe B;Salle I203;ROBOTIQUE
;;;;Systèmes et Autonomie des Transports
;CONCEP.LOGICIELLE/BIG DATA;ELECTRONIQUE ET SYST EMB;;
;GROUPE C &D;GROUPE C &D;;R.LEBER
;Conception Orientée Objet et Design Patterns;Logiciel Embarqué;;Salle I207
;;;;
;B.MASCRET;A.MASSOURI ;;ELECTRONIQUE ET SYST EMB
FERIÉ ;;;;Fonctions électroniques mixtes 
; Salle I306; Salle I203;;
;;;;L.LABRAK
;;;;Salle I200
;;;;
;;;;INFRA DES RESEAUX 
;;;;Réseaux Wan
;;;;
;;;;R.FANTAUZZI
;;;;Salle G103
;;;;
;;;;IMAGE 
;;;;Modelisation 
;;;;
;;;;T.DUPONT 
;;;;Salle I306
;;;;
;;;;
;;;;
;;;;
;13h30-17h45;13h30-17h45;13h30-14h30;13h30-17h45
;GROUPE C&D;CONCEP.LOGICIELLE/BIG DATA;Droit ;MSO1 OUVERTURE
;;Architecture des Systèmes d'Information ;;AWS Cloud Foundations
;Projet ;;C.ROBINNEAU;T.AUFORT / Y.COSSIN/      T.PONTHIEU
;;J.SARAYDARYAN;V.LACOINTA BRENAC;
;F. JOLY;Salles G102;Salles F004/005;
;;; F006/007 & F008;Salle G102
;Salle I105 - Groupe C ;ROBOTIQUE;;
;Salle I200 - Groupe D;Systèmes et Autonomie des Transports;;Information géographique
;;;Voir répartition;13h00-17h00
;CONCEP.LOGICIELLE/BIG DATA;R.LEBER;(tableau d'affichage 4ETI);L. DUPONT
FERIÉ ;GROUPE A&B;Salle I207;;Salle G105
;Conception Orientée Objet et Design Patterns;;;
;;ELECTRONIQUE ET SYST EMB;;
;B.MASCRET;Fonctions électroniques mixtes ;14h30-17h45;Conception architecture
;;;;système
; Salle I306;L.LABRAK;;L. GUILLEMAUD
;;Salle I203;;Salle   Gd Conseil 
;;;;
;ELECTRONIQUE ET SYST EMB;INFRA DES RESEAUX ;;
;GROUPE A&B;Réseaux Wan;;Information quantique
;Logiciel Embarqué;;;
;;R.FANTAUZZI;;B. FEDRICI
;A.MASSOURI ;Salle G108;;Salle G108
; Salle I203;;;
;;IMAGE ;;
;;Analyse d'images ;;Algorithmique et Informatique Théorique 
;;;;
;;P.GONCALVES /T.DUPONT ;;
;;13h30 à 15h30 :  Salle I304;;G.MOREL
;;****************;;Salle G103
;;Modelisation ;;
;;T.DUPONT ;;
;;15h45 à 17h45 : Salle I304;;
