LUNDI;MARDI ;MERCREDI;JEUDI;VENDREDI
;;;;
2023-04-17 00:00:00;2023-04-18 00:00:00;2023-04-19 00:00:00;2023-04-20 00:00:00;2023-04-21 00:00:00
8h00 - 10h00;8h00 - 12h30;8h00 - 12h15;8h30 - 12h30;8h00 - 10h00
;;;;
;Examen 1ère session;Consignes pour l'année de césure;Modules Semi-Optionnels;Modules Semi-Optionnels
;Modules semi-optionnels;;Série 2;Série 4
;Série 3;8h30 - 9h00;;
;;;Introduction aux Biotechnologies et ;Synthèse de molécules bioactives
;Génie de la réaction chimique avancée;C. GOZZI / M. JORROT;Bioprocédés;8h00 - 12h15
Travail Libre;10h30 - 12h30;;Gr. E+F : Visite de site;T. BILLARD
;Salle F002/003;Grand Amphi;Boehringer Ingelheim (JONAGE);Salle F002
;;;Gr. E : 8h30 - 10h30;
;Synthèse Macromoléculaire;* * * * * * * * *;Gr. F : 10h30 - 12h30;De la molécule aux nanomatériaux
;10h30 - 12h30;;* * * * * * * * * *;8h00 -12h15
;Salle F006/007;Consignes pour les projets;Gr. A+B+C+D : Travail libre;S. DANIELE - C. THIEULEUX - S. MISHRA
;;scientifiques;;A. TACNET
;Transition énergétique;;;Labo TP Cinétique
;10h30 - 12h30;9h00 - 10h00;;Bât. D - 3ème étage
10h30 - 12h00;Salle F004/005;;;
;;Présence indispensable;;Chimie nucléaire, mesure, analyse et
Examen 1ère session;Analyse en ligne;;;cycle du combustible
Formulation;10h30 - 12h30;J. BOYER;;10h15 - 12h15
;Salle F004/005;;;JP. LOPEZ
;;Grand Amphi;;Salle F004
;Chimie médicinale et hétérocycles;;;
;Examen Oral;* * * * * * * * *;;Chimie et Numérique
;8h00 - 12h15;;;8h00 - 12h15
Salles F002/003 + F004/005 +;T. BILLARD;Modules Semi-Optionnels;;J. SAMUEL / I. KHEDHER
F006/007 + F008;Salle F101;Série 5;;Salle I203
;(cf. répartition sur Moodle);;;
;;Génie de la Polymérisation;;Microbiologie, Immunologie, Eléments
;;8h00 - 12h15;;de génie génétique
;;R. PELLETIER;;8h00 - 12h15
;;Salle du Grand Conseil;;E. BAZIN
;;;;Salle F008
(Voir répartition sur tableau d'affichage;;;;
4CGP près des amphis);;;;
;;;;
;;;;
13h10 - 18h00;13h30 - 17h45;13h30 - 17h45;13h30 - 17h45;13h30 - 17h45
;;;;
;Modules Semi-Optionnels;Projet Scientifique;;Modules Semi-Optionnels
;Série 5;;;Série 5
;;13h30 - 17h45;;
;Conception et Application du;;;Conception et Application du
;Médicament;(cf. Planning spécifique sur ;;Médicament
;13h30 - 17h45;le e-campus);;13h30 - 17h45
;T. BILLARD;;;T. BILLARD
;Salle F008;* * * * * * * * *;;Salle F006/007
;;;;
;Techniques Séparatives avancées;Modules Semi-Optionnels;;Techniques Séparatives avancées
LANGUES;et Spéciation;Série 5;;et Spéciation
;Pas de Cours;;;13h30 - 17h45
;;Génie de la Polymérisation;;C. DEMESMAY
;Catalyse et Développement Durable;13h30 - 17h45;;Salle F001
;15h45 - 17h45;R. PELLETIER;;
;J. BOUSQUET;Salle F001;;Catalyse et Développement Durable
;Salle F004;;;15h45 - 17h45
;;;;J. BOUSQUET
;Génie de la Polymérisation;;;Salle F002
(Voir planning spécifique sur le tableau;13h30 - 17h45;;;
des langues situé près de la salle E109) ;R. PELLETIER;;;Génie de la Polymérisation
;Salle F006;;;13h30 - 15h30
;;;;T. MCKENNA
;Méthodes Spectroscopiques pour la;;;Salle F002
;Synthèse Organique;;;
;13h30 - 15h30 : A. BAUDOUIN;;;Méthodes Spectroscopiques pour la
;15h45 - 17h45 : G. BORREGO;;;Synthèse Organique
;Salle F007;;;13h30 - 15h30
;;;;A. RAGO
;Méthodes Numériques;;;Salle E109
;13h30 - 17h45;;;
;K. FIATY;;;Méthodes Numériques
;Salle I300;;;Pas de Cours
