LUNDI;MARDI ;MERCREDI;JEUDI;VENDREDI
;;;;
2023-04-24 00:00:00;2023-04-25 00:00:00;2023-04-26 00:00:00;2023-04-27 00:00:00;2023-04-28 00:00:00
8h00 - 10h00;8h00 - 12h15;8h00 - 12h15;8h00 - 12h15;8h00 - 12h15
;;;;
Examen 1ère session;;;Modules Semi-Optionnels;Modules Semi-Optionnels
Plans d'Expériences TD;;;Série 5;Série 4
;;;;
;;;Conception et Application du;Synthèse de molécules bioactives
;;;Médicament;8h00 - 12h15
Salles F002/003 + F004/005 +;;;8h00 - 12h15;F. TOULGOAT
F006/007 + F008;;;T. BILLARD;Salle F004
;;;Salle F008;
;;;;De la molécule aux nanomatériaux
;;;Techniques Séparatives avancées;Pas de Cours
;;;et Spéciation;
(Voir répartition sur tableau d'affichage;;;8h00 - 10h00 : C. DEMESMAY;Chimie nucléaire, mesure, analyse et
4CGP près des amphis);Projet Scientifique;Projet Scientifique;10h15 - 12h15 : R. ROUX;cycle du combustible
;;;Salle F003;8h00 - 12h15
10h15 - 12h15;;;;N. MONCOFFRE
;;;Catalyse et Développement Durable;Salle F001
;(cf. planning spécifique sur le e-campus);(cf. planning spécifique sur le e-campus);8h00 - 10h00 : J. BOUSQUET;
;;;10h15 - 12h15 : A. QUADRELLI;Chimie et Numérique
;;;Salle F004;8h00 - 12h15
;;;;J. SAMUEL / I. KHEDHER
;;;Génie de la Polymérisation;Salle I300
;;;8h00 - 10h00;
;;;N. OTHMAN;Microbiologie, Immunologie, Eléments
;;;Salle F005;de génie génétique
;;;;8h00 - 12h15
;;;Méthodes Spectroscopiques pour la;G. WITTMANN
;;;Synthèse Organique;Salle F008
;;;8h00 - 10h00 : A. BAUDOUIN;
;;;Bibliothèque;
;;;10h15 - 12h15 : F. TOULGOAT;
;;;Salle F005;
;;;;
;;;Méthodes Numériques;
;;;Pas de Cours;
;;;;
;;;;
13h10 - 18h00;13h30 - 17h45;13h30 - 17h45;13h30 - 17h45;13h30 - 17h45
;;;;
;;;;Modules Semi-Optionnels
;;;;Série 5
;;;;
;;;;Conception et Application du
;;;;Médicament
;;;;13h30 - 15h30
;;;;T. BILLARD
;;;;Salle F006/007
;;;;
;;;;Techniques Séparatives avancées
LANGUES;Projet Scientifique;Projet Scientifique;;et Spéciation
;;;;13h30 - 15h30
;;;;F. LAGARDE
;;;;Salle F101
;(cf. planning spécifique sur le e-campus);(cf. planning spécifique sur le e-campus);;
;;;;Catalyse et Développement Durable
;;;;13h30 - 17h45
;;;;A. QUADRELLI
;;;;Salle F003
(Voir planning spécifique sur le tableau;;;;
des langues situé près de la salle E109) ;;;;Génie de la Polymérisation
;;;;13h30 - 15h30
;;;;T. MCKENNA
;;;;Salle F004
;;;;
;;;;Méthodes Spectroscopiques pour la
;;;;Synthèse Organique
;;;;13h30 - 15h30
;;;;G. BORREGO
;;;;Salle F005
;;;;
;;;;Méthodes Numériques
;;;;13h30 - 17h45
;;;;K. FIATY
;;;;Salle I300
